Setup title	"Solar Cell Cp-V"
Application test name	"Solar Cell Cp-V"
Test date	4/3/2023
Test time	18:26:54
Device ID	
Count	7
Flags	
Remarks	
Name	Anode	VdcStart	VdcStop	VdcStep	OscLevel	FREQ	IntegTime	HoldTime	DelayTime	CpMin	CpMax	GMin	GMax	NMin	NMax
Value	"CMU1:MF	MFCMU"	-5	5	0.1	0.06	1000000	MEDIUM	0	0	1E-15	5E-07	0	0.005	1E+15	1E+17
Name	Temp	Area	Es
Value	25	1	25.5
Vdc	Cp	Cp_2	G	N	W	Rp	D
-5	5.54663E-11	3.25043591076173E+20	3.93906E-05	-2393263565990.89	0.000407061213746004	25386.7674013597	0.11302734635909
-4.9	5.54466E-11	3.25274606009124E+20	3.93675E-05	-2201767710397.76	0.00040720584129595	25401.6638089795	0.113001197948508
-4.8	5.54235E-11	3.25545805382995E+20	3.93451E-05	-3281226038502.66	0.000407375560908279	25416.1255149942	0.112983971626594
-4.7	5.54179E-11	3.25611601763602E+20	3.9329E-05	-2774049012913.57	0.000407416726364586	25426.5300414452	0.112949151029951
-4.6	5.53896E-11	3.25944413785122E+20	3.92607E-05	-2441559394892.25	0.000407624886260237	25470.7633842494	0.112810608385862
-4.5	5.53794E-11	3.26064492341146E+20	3.92757E-05	-2720760224274.25	0.000407699964246633	25461.0357040104	0.1128744948193
-4.4	5.53551E-11	3.2635082932832E+20	3.91888E-05	-1512007111987.6	0.000407878937984034	25517.4947944311	0.112674193233166
-4.3	5.53174E-11	3.26795811152872E+20	3.91281E-05	-1356568723596.68	0.000408156916268661	25557.0804613564	0.112576341780264
-4.2	5.52861E-11	3.27165944128791E+20	3.91192E-05	-1552065261205.02	0.000408387992641912	25562.8949467269	0.112614455528642
-4.1	5.52572E-11	3.27508254934779E+20	3.90131E-05	-1494714020992.63	0.000408601583142106	25632.4157782899	0.112367758596889
-4	5.52237E-11	3.27905723932105E+20	3.90629E-05	-1408691625149.34	0.000408849450507663	25599.7378586843	0.112579447347895
-3.9	5.51911E-11	3.28293209728801E+20	3.89533E-05	-1523902586332.47	0.000409090947634673	25671.7659351069	0.112329890956025
-3.8	5.51627E-11	3.28631334121612E+20	3.88935E-05	-1468162686663.53	0.000409301564281661	25711.2370961729	0.112215188508652
-3.7	5.51279E-11	3.29046368254422E+20	3.88538E-05	-1054471334461.7	0.000409559939703852	25737.5083003464	0.112171410989815
-3.6	5.50749E-11	3.29679972627299E+20	3.88395E-05	-1001040069531.04	0.00040995406982128	25746.984384454	0.112238032428915
-3.5	5.50356E-11	3.3015097862729E+20	3.87102E-05	-822143013237.245	0.000410246811154962	25832.9845880414	0.111944262951207
-3.4	5.49629E-11	3.31024944519849E+20	3.85946E-05	-715277835500.517	0.000410789448882792	25910.3605167562	0.111757592242331
-3.3	5.49072E-11	3.31696894339449E+20	3.86172E-05	-740208640077.441	0.000411206169682665	25895.1969588681	0.111936472236244
-3.2	5.48393E-11	3.32518792584557E+20	3.84984E-05	-642920585437.129	0.000411715310005781	25975.1054589282	0.111730285782834
-3.1	5.47654E-11	3.33416794540977E+20	3.84211E-05	-564555720780.853	0.000412270875406735	26027.3651717416	0.111656410507904
-3	5.46785E-11	3.34477428736415E+20	3.82436E-05	-495666996991.746	0.000412926093437091	26148.165967639	0.11131720843898
-2.9	5.45831E-11	3.35647645598584E+20	3.80983E-05	-418685594992.069	0.000413647803074578	26247.8903258151	0.111088098118273
-2.8	5.44639E-11	3.37118454025285E+20	3.79573E-05	-339392081646.914	0.00041455311499911	26345.3933762412	0.110919194575187
-2.7	5.43201E-11	3.38905704063278E+20	3.76963E-05	-271871862030.772	0.000415650549244202	26527.8024633717	0.110448111864237
-2.6	5.41383E-11	3.41185661408205E+20	3.74449E-05	-215392851557.477	0.00041704633134029	26705.9065453506	0.110079942085053
-2.5	5.39133E-11	3.44039389960764E+20	3.71894E-05	-161033840735.809	0.00041878681883691	26889.3824584425	0.10978509645344
-2.4	5.36016E-11	3.4805228794712E+20	3.67525E-05	-113718875875.562	0.000421222116503985	27209.0333990885	0.10912625828308
-2.3	5.31672E-11	3.53763010915915E+20	3.61272E-05	-74548408465.9926	0.000424663691147926	27679.9751987422	0.108146046059807
