Setup title	"Solar Cell Cp-V"
Application test name	"Solar Cell Cp-V"
Test date	4/3/2023
Test time	18:29:18
Device ID	
Count	14
Flags	
Remarks	
Name	Anode	VdcStart	VdcStop	VdcStep	OscLevel	FREQ	IntegTime	HoldTime	DelayTime	CpMin	CpMax	GMin	GMax	NMin	NMax
Value	"CMU1:MF	MFCMU"	-5	5	0.1	0.06	500000	MEDIUM	0	0	1E-15	5E-07	0	0.005	1E+15	1E+17
Name	Temp	Area	Es
Value	25	1	25.5
Vdc	Cp	Cp_2	G	N	W	Rp	D
-5	5.58645E-11	3.20426309491612E+20	9.92101E-06	-2250841734164.81	0.000404159697124292	100796.189097683	0.0565288432533907
-4.9	5.58431E-11	3.20671941876083E+20	9.90412E-06	-2233871778014.66	0.00040431457780818	100968.081969928	0.0564542317663489
-4.8	5.58214E-11	3.20921306230164E+20	9.89185E-06	-2453553859075.86	0.000404471750977224	101093.32430233	0.05640621065842
-4.7	5.58039E-11	3.21122618448912E+20	9.8862E-06	-2589558448511.02	0.000404598592571487	101151.099512452	0.0563916714923327
-4.6	5.57843E-11	3.21348313098881E+20	9.8659E-06	-1986611659540.99	0.000404740749637443	101359.227237252	0.0562956513947733
-4.5	5.57556E-11	3.21679224084014E+20	9.86129E-06	-1988640826482.92	0.00040494908852205	101406.611102604	0.0562983107979494
-4.4	5.57361E-11	3.21904350785393E+20	9.86528E-06	-2080657112804.59	0.000405090765231152	101365.597327192	0.0563407944576678
-4.3	5.57096E-11	3.22210671210816E+20	9.83628E-06	-1497867659523.25	0.000405283459224263	101664.450381648	0.056201896392591
-4.2	5.56723E-11	3.22642573042499E+20	9.84649E-06	-1665695607233.03	0.00040555499593155	101559.032711149	0.0562979275368653
-4.1	5.56523E-11	3.22874513535703E+20	9.83139E-06	-1440696890647.59	0.000405700741928007	101715.01689995	0.0562317933298219
-4	5.56062E-11	3.23410089965481E+20	9.81011E-06	-1378550170903.53	0.000406037085792592	101935.656175109	0.056156597601549
-3.9	5.55833E-11	3.23676631055833E+20	9.82521E-06	-1359334963546.34	0.000406204370737254	101778.995054559	0.0562662072390922
-3.8	5.55364E-11	3.24223546011352E+20	9.79112E-06	-1160957247042.65	0.000406547406745846	102133.361658319	0.0561183348724913
-3.7	5.55017E-11	3.24629085805805E+20	9.78466E-06	-1205389221805.38	0.000406801582654225	102200.791851735	0.0561163714075042
-3.6	5.5458E-11	3.25140892229865E+20	9.7615E-06	-1009497435226.54	0.000407122135670237	102443.272038109	0.0560276597422168
-3.5	5.54083E-11	3.25724441975988E+20	9.75913E-06	-905077650651.464	0.000407487315077344	102468.150337171	0.0560643001058253
-3.4	5.53541E-11	3.26362620822615E+20	9.73487E-06	-805437548675.351	0.00040788630652472	102723.508377616	0.0559796900629724
-3.3	5.52919E-11	3.27097309737466E+20	9.67917E-06	-717133463279.45	0.000408345153630098	103314.643714285	0.055722004507972
-3.2	5.52238E-11	3.27904536380987E+20	9.65201E-06	-618447208136.476	0.000408848710157577	103605.363028012	0.0556341686835311
-3.1	5.51414E-11	3.2888527034253E+20	9.6225E-06	-579063659496.197	0.000409459669141516	103923.096908288	0.055546955278689
-3	5.50637E-11	3.29814100599577E+20	9.61585E-06	-493980249760.212	0.000410037454802347	103994.966643614	0.0555868951607171
-2.9	5.49547E-11	3.31123738874413E+20	9.58883E-06	-378127858351.972	0.000410850744340338	104288.010111765	0.0555406432195333
-2.8	5.48212E-11	3.32738400462801E+20	9.54119E-06	-338099743524.782	0.000411851243679452	104808.729309447	0.0553992817187272
-2.7	5.46853E-11	3.3439425080362E+20	9.46879E-06	-279264310710.136	0.000412874746961249	105610.114914366	0.0551155331908022
-2.6	5.44979E-11	3.36697944171226E+20	9.39928E-06	-213363157056.127	0.000414294484741614	106391.127831068	0.0548990648632394
-2.5	5.42664E-11	3.39576772752191E+20	9.34949E-06	-163322849437.704	0.000416061861483349	106957.705714429	0.0548412110952125
-2.4	5.39581E-11	3.43468333300896E+20	9.22671E-06	-113558643921.081	0.000418439111088048	108380.99387539	0.054430252546913
-2.3	5.35047E-11	3.49314113797126E+20	9.10715E-06	-74038431921.7919	0.000421984973282721	109803.835447972	0.054180209962105
-2.2	5.28219E-11	3.58403269330171E+20	8.86177E-06	-41973289881.1455	0.000427439743742652	112844.273773749	0.0534018844473153
-2.1	5.15945E-11	3.7565846868546E+20	8.42199E-06	-20989674245.208	0.00043760826057041	118736.78311183	0.0519590785518166
-2	4.93213E-11	4.11084374884359E+20	7.66798E-06	-10760759295.6874	0.00045777745923161	130412.442390304	0.0494876217995105
-1.9	4.5719E-11	4.7841694641695E+20	6.5274E-06	-7552934421.03823	0.000493846746429275	153200.355424825	0.0454457873329819
-1.8	4.23529E-11	5.57485651900586E+20	5.50695E-06	-8457065483.87518	0.000533096420788187	181588.719708732	0.0413883495042906
-1.7	4.05165E-11	6.09166701940084E+20	4.96562E-06	-13564733583.1632	0.000557258879715671	201384.721343961	0.0390114135483656
-1.6	3.95593E-11	6.3900286251741E+20	4.72765E-06	-22730601936.0968	0.000570742642058884	211521.580489249	0.0380405551518146
-1.5	3.89896E-11	6.57812982736715E+20	4.56994E-06	-34873501056.8606	0.000579082098816094	218821.253670727	0.0373088485459486
-1.4	3.86129E-11	6.70710583593561E+20	4.47448E-06	-49810298273.8408	0.000584731512007645	223489.656898679	0.036885890972499
-1.3	3.83479E-11	6.80012392954673E+20	4.42924E-06	-73307628804.668	0.000588772250892487	225772.367268425	0.0367652695527278
-1.2	3.81859E-11	6.85794405870861E+20	4.38589E-06	-135589496016.642	0.00059127006041497	228003.894306515	0.036559885892829
-1.1	3.812E-11	6.88167591380398E+20	4.3513E-06	-3077294441820.78	0.00059229221930745	229816.376715005	0.0363342551876148
-1	3.81759E-11	6.86153734256676E+20	4.38983E-06	138112537862.314	0.000591424940865834	227799.254185242	0.0366023142261621
-0.9	3.83437E-11	6.80161372237845E+20	4.40665E-06	62063638467.9457	0.0005888367424114	226929.753894682	0.0365817659733452
-0.8	3.86814E-11	6.6833719510822E+20	4.50937E-06	37789070661.1659	0.000583696024445858	221760.467648474	0.0371076809903717
-0.7	3.91961E-11	6.50900021664433E+20	4.63648E-06	27469577320.8654	0.000576031273519559	215680.861343088	0.0376526598588583
-0.6	3.99017E-11	6.28083235917523E+20	4.84894E-06	21681938650.772	0.00056584504920843	206230.640098661	0.0386816987625194
-0.5	4.08282E-11	5.99900926875442E+20	5.05854E-06	18931889473.2021	0.000553004526283304	197685.498187224	0.0394380181261128
-0.4	4.18973E-11	5.69676004773214E+20	5.37155E-06	18562886337.1959	0.000538893422726524	186166.004225968	0.0408097292458219
-0.3	4.30199E-11	5.4033264506982E+20	5.68083E-06	19715515356.292	0.000524831052605887	176030.615244603	0.0420332067422267
-0.2	4.41257E-11	5.13590265979329E+20	5.97812E-06	22501400979.1506	0.000511678667987137	167276.668919326	0.0431244081520185
-0.1	4.51206E-11	4.91190849610755E+20	6.27051E-06	26903371640.6102	0.000500396258028484	159476.661387989	0.0442362318855429
0	4.60049E-11	4.72489125972376E+20	6.55132E-06	32236304404.4685	0.00049077770846149	152640.994486607	0.0453288654807231
0.1	4.67837E-11	4.5688917437572E+20	6.77435E-06	38582839107.9595	0.000482607818535088	147615.638400732	0.0460917494227628
0.2	4.7467E-11	4.43829771968754E+20	6.9907E-06	45903966544.4102	0.000475660551541071	143047.191268399	0.0468790722258746
0.3	4.8068E-11	4.32800640688984E+20	7.14831E-06	53735035856.4409	0.000469713310310394	139893.205526901	0.0473366427250359
0.4	4.86072E-11	4.23251777987062E+20	7.35012E-06	61096444940.1783	0.000464502777366316	136052.200508291	0.0481331132144578
0.5	4.91057E-11	4.14702054993163E+20	7.52128E-06	68354258569.2987	0.000459787344442702	132956.092579986	0.0487539691065808
0.6	4.95636E-11	4.0707488912009E+20	7.65415E-06	77014354850.5519	0.000455539537079631	130648.079799847	0.0491568734985812
0.7	4.99785E-11	4.0034422200728E+20	7.79992E-06	82362879444.902	0.000451757843872865	128206.443143007	0.0496771941423472
0.8	5.04017E-11	3.93649432750519E+20	7.90607E-06	86910964161.9634	0.000447964640081585	126485.093099353	0.0499304634935273
0.9	5.07921E-11	3.87621325015835E+20	8.09145E-06	92878978051.2914	0.000444521478733898	123587.243324744	0.050708447348357
